term,aliases,category,definition,source_name,source_url
YoY,"[""Year on Year"", ""전년 동기 대비""]",리포트/실적 표현,"YoY는 전년 같은 기간과 비교한 증감률을 뜻합니다. 주로 기업의 실적 리포트나 뉴스에서 작년 이맘때와 비교해 실적이 얼마나 변했는지 보여줄 때 사용합니다. 계절에 따라 실적 변동이 큰 업종의 경우, 전년 동기와 비교함으로써 계절적 요인을 배제하고 기업의 성장 흐름을 파악하는 데 활용됩니다.",장독대 주식 용어 사전,
QoQ,"[""Quarter on Quarter"", ""전분기 대비""]",리포트/실적 표현,QoQ는 바로 이전 분기와 비교한 실적의 증감률을 뜻합니다. 주로 기업 실적 리포트나 뉴스에서 기업의 최근 실적 변화 흐름을 단기적으로 파악할 때 사용합니다.,장독대 주식 용어 사전,
MoM,"[""Month on Month"", ""전월 대비""]",리포트/실적 표현,"MoM은 바로 이전 달과 비교한 수치의 증감률을 뜻합니다. 주로 매달 발표되는 경제 지표나 기업의 월별 매출 변화를 확인할 때 사용하며, 전월 대비 지표가 어떻게 변했는지 파악하는 데 도움을 줍니다.",장독대 주식 용어 사전,
YTD,"[""Year to Date"", ""연초 대비""]",리포트/실적 표현,YTD는 연초부터 현재 시점까지의 누적 성과나 변화를 뜻하는 용어입니다. 주로 리포트나 실적 발표에서 올해 들어 주가나 실적이 얼마나 변했는지 측정하는 기준으로 사용됩니다. 특정 시점의 단기적인 변화보다는 올해 전체의 흐름을 파악할 때 유용합니다.,장독대 주식 용어 사전,
TTM,"[""Trailing Twelve Months"", ""최근 12개월""]",리포트/실적 표현,TTM은 최근 12개월 동안의 실적이나 재무 수치를 합산한 것을 뜻합니다. 기업 리포트나 실적 화면에서 가장 최신의 연간 흐름을 반영한 지표로 활용됩니다. 특정 회계연도 기준이 아니라 현재 시점에서 가장 가까운 12개월간의 성과를 보여준다는 점이 특징입니다.,장독대 주식 용어 사전,
컨센서스,"[""Consensus"", ""시장 전망치""]",리포트/실적 표현,컨센서스는 증권사 애널리스트들이 발표한 실적이나 주가 전망치를 종합한 평균적인 시장 기대치를 뜻합니다. 주로 기업의 실적 발표 전후로 리포트나 뉴스에서 시장의 눈높이를 설명할 때 쓰입니다. 실제 실적이 컨센서스에 부합하는지 혹은 상회하거나 하회하는지에 따라 시장의 반응이 달라질 수 있습니다.,장독대 주식 용어 사전,
어닝 쇼크,"[""Earnings Shock"", ""실적 쇼크""]",리포트/실적 표현,"어닝 쇼크는 기업이 발표한 실적이 시장의 예상치(컨센서스)보다 훨씬 낮은 상황을 의미합니다. 주로 실적 발표 시즌의 뉴스나 리포트에서 기업의 성과를 평가할 때 사용합니다. 단순히 실적이 전년보다 줄어든 것뿐만 아니라, 시장의 기대에 미치지 못했다는 점이 핵심입니다.",장독대 주식 용어 사전,
어닝 서프라이즈,"[""Earnings Surprise"", ""실적 서프라이즈""]",리포트/실적 표현,"어닝 서프라이즈는 기업이 발표한 실제 실적이 시장의 예상치(컨센서스)를 크게 웃도는 상황을 뜻합니다. 주로 실적 발표 시즌의 뉴스나 리포트에서 기업의 성과를 평가할 때 사용합니다. 실적이 기대를 상회했다는 사실만으로 주가 흐름을 단정할 수는 없으며, 시장 상황이나 향후 전망에 따라 해석이 달라질 수 있습니다.",장독대 주식 용어 사전,
어닝 미스,"[""Earnings Miss"", ""실적 미스""]",리포트/실적 표현,"어닝 미스는 기업의 실제 실적이 시장의 기대치에 미치지 못한 상황을 뜻합니다. 주로 증권사 리포트나 뉴스에서 기업 실적을 평가할 때 사용하며, 예상보다 실적이 저조하지만 어닝 쇼크보다는 충격이 덜한 경우를 표현할 때 쓰입니다.",장독대 주식 용어 사전,
가이던스,"[""Guidance"", ""실적 가이던스""]",리포트/실적 표현,"가이던스는 기업이 직접 발표하는 향후 실적 전망치나 경영 목표를 의미합니다. 주로 실적 발표 시점에 함께 공개되며, 기업이 스스로 예상하는 미래 성과를 보여주는 지표로 활용됩니다. 리포트나 뉴스에서 기업의 성장 가능성을 가늠하는 참고 자료로 자주 언급됩니다.",장독대 주식 용어 사전,
목표주가,"[""Target Price""]",리포트/실적 표현,"목표주가는 증권사 애널리스트가 기업의 가치를 분석하여 제시하는 향후 6개월에서 1년 뒤의 예상 적정 주가입니다. 주로 증권사 리포트에서 해당 기업의 가치를 평가하는 지표로 활용됩니다. 이는 분석 시점의 전망을 바탕으로 산출된 예측치이므로, 시장 상황에 따라 실제 주가 흐름과는 차이가 있을 수 있습니다.",장독대 주식 용어 사전,
투자의견,"[""Investment Opinion""]",리포트/실적 표현,"투자의견은 증권사가 특정 종목에 대해 제시하는 매수(Buy), 중립(Hold), 매도(Sell) 등의 의견을 뜻합니다. 주로 증권사 리포트에서 기업의 가치나 전망을 분석한 결과를 요약해 보여줄 때 사용합니다. 증권사마다 의견을 나누는 기준이 다를 수 있으므로, 용어 자체의 의미보다는 리포트의 상세 분석 내용을 함께 확인해야 합니다.",장독대 주식 용어 사전,
투자의견 상향,"[""Upgrade"", ""의견 상향""]",리포트/실적 표현,"투자의견 상향은 증권사가 특정 종목의 전망을 이전보다 긍정적으로 평가하여 투자 등급을 높게 조정하는 것을 뜻합니다. 주로 증권사 리포트에서 기업의 실적 개선이나 시장 환경의 변화를 반영할 때 사용됩니다. 다만, 투자의견 상향이 반드시 주가 상승으로 이어지는 것은 아니므로 리포트의 구체적인 분석 근거를 함께 확인하는 것이 좋습니다.",장독대 주식 용어 사전,
투자의견 하향,"[""Downgrade"", ""의견 하향""]",리포트/실적 표현,"투자의견 하향은 증권사가 특정 종목의 향후 전망을 이전보다 부정적으로 평가하여 투자 등급을 낮은 단계로 조정하는 것을 뜻합니다. 주로 기업 분석 리포트에서 사용되며, 실적 부진이나 시장 환경 변화 등을 반영해 발표됩니다. 이는 해당 증권사의 개별적인 분석 결과이므로 다른 지표들과 함께 종합적으로 살펴봐야 합니다.",장독대 주식 용어 사전,
잠정실적,"[""Preliminary Earnings""]",리포트/실적 표현,"잠정실적은 외부 감사인의 검토가 완료되기 전, 기업이 투자자 편의를 위해 먼저 발표하는 임시 실적 수치입니다. 주로 실적 발표 시즌에 뉴스나 공시를 통해 기업의 성과를 빠르게 파악할 때 활용됩니다. 최종 확정된 수치가 아니므로 향후 외부 감사 결과에 따라 실제 실적과 차이가 발생할 수 있습니다.",장독대 주식 용어 사전,
실적 발표,"[""Earnings Release""]",리포트/실적 표현,"실적 발표는 기업이 분기나 연간 경영 성과를 시장에 공식적으로 공개하는 것을 말합니다. 매출액, 영업이익 등 주요 재무 지표를 통해 기업이 일정 기간 동안 사업을 얼마나 잘했는지 보여줍니다. 공시나 리포트 등을 통해 발표되며, 기업의 현재 상태를 파악하는 핵심적인 정보로 활용됩니다.",장독대 주식 용어 사전,
피크아웃,"[""Peak-out""]",리포트/실적 표현,"피크아웃은 실적이나 업황이 정점을 찍고 앞으로 하락하거나 성장세가 둔화될 가능성이 커진 상태를 뜻합니다. 주로 증권사 리포트나 뉴스에서 기업의 실적 전망을 설명할 때 쓰입니다. 현재 실적이 우수하더라도 정점을 지나 하락세로 돌아설 수 있다는 의미를 담고 있으며, 실제 하락 여부나 시점은 시장 상황에 따라 달라질 수 있습니다.",장독대 주식 용어 사전,
턴어라운드,"[""Turnaround""]",리포트/실적 표현,"턴어라운드는 기업의 실적이 적자에서 흑자로 돌아서거나, 부진했던 경영 상태가 눈에 띄게 회복되는 상황을 의미합니다. 주로 증권사 리포트나 뉴스에서 기업의 실적 개선 흐름을 설명할 때 사용됩니다. 실적이 바닥을 찍고 반등한다는 의미를 담고 있지만, 일시적인 회복인지 지속적인 성장인지는 기업의 상황에 따라 다를 수 있습니다.",장독대 주식 용어 사전,
리레이팅,"[""Re-rating""]",투자지표/밸류에이션,"리레이팅은 기업의 이익 창출 능력이나 시장 환경의 변화로 인해 시장에서 받는 가치 평가 수준(멀티플)이 높아지는 것을 뜻합니다. 주로 증권사 리포트나 뉴스에서 기업의 적정 가치를 다시 산정할 때 사용되는 용어입니다. 단순히 주가가 오르는 것을 넘어, 해당 기업이나 업종을 바라보는 시장의 기준 자체가 상향 조정되는 상황을 설명합니다.",장독대 주식 용어 사전,
디레이팅,"[""De-rating""]",투자지표/밸류에이션,"디레이팅은 기업이나 산업의 성장성이 둔화하거나 위험 요인이 발생해 시장에서 받는 가치 평가 수준(멀티플)이 낮아지는 것을 뜻합니다. 주로 증권사 리포트나 뉴스에서 기업의 이익 규모는 유지되더라도 시장의 기대치가 낮아져 주가가 하락하는 상황을 설명할 때 쓰입니다. 이는 단순히 주가가 변동하는 것을 넘어, 시장이 해당 종목에 부여하는 가치 기준 자체가 낮아졌음을 의미합니다.",장독대 주식 용어 사전,
멀티플,"[""Multiple"", ""밸류에이션 멀티플""]",투자지표/밸류에이션,멀티플은 기업의 주가를 이익이나 자산 등 특정 지표와 비교하여 나타낸 배수입니다. 'PER 10배'라고 할 때의 10배가 해당 기업에 적용된 멀티플을 의미합니다. 기업의 가치가 시장에서 어느 정도 수준으로 평가받고 있는지 나타내는 지표로 활용됩니다.,장독대 주식 용어 사전,
순매수,"[""Net Buy""]",수급/투자자,"순매수는 특정 기간 동안 투자자가 주식을 매도한 금액보다 매수한 금액이 더 많은 상태를 의미합니다. 주로 투자 주체별 수급 현황을 파악할 때 사용하며, 해당 주체가 주식을 사들이는 흐름을 보여줍니다. 순매수 규모가 크다고 해서 반드시 주가 상승을 보장하는 것은 아니며, 전체 거래량이나 시장 상황과 함께 살펴봐야 합니다.",장독대 주식 용어 사전,
