term,decision,recommended_definition,representative_source_id,representative_source_name,representative_source_url,source_count
DLS(파생결합증권),resolved,"DLS(파생결합증권)는 금리, 환율, 원자재, 신용 등 다양한 기초자산의 가격 변동에 연계하여 수익률이 결정되는 유가증권입니다. 주가나 주가지수를 기초자산으로 하는 ELS와 달리 기초자산의 범위가 넓은 것이 특징이며, 주로 증권사에서 발행합니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
ELS(주가연계증권),resolved,"ELS(주가연계증권)는 주가지수나 특정 종목의 주가 흐름에 연동하여 수익률이 결정되는 금융상품입니다. 투자 시점에 정해진 수익 조건(기초자산의 가격 수준 등)을 충족하면 약속된 수익을 지급하며, 주로 증권사에서 발행합니다. 조건에 따라 만기 전 조기상환이 가능하거나 만기 시점에 수익이 확정되는 구조를 가집니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
거래량,resolved,"거래량은 일정 기간 동안 주식 시장에서 매수와 매도가 체결되어 거래된 주식의 총 수량을 의미합니다. 매도와 매수가 합쳐져 하나의 거래가 성립된 수량을 기준으로 산출하며, 시장의 유동성과 투자자들의 관심도를 나타내는 핵심 지표로 활용됩니다.",source_3,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,3
거래원,resolved,"거래원은 증권거래소에 등록되어 시장에서 주식 매매를 할 수 있는 자격을 갖춘 증권회사를 의미합니다. 투자자의 주문을 받아 매매를 대행하는 주체가 되며, 국내 증권사뿐만 아니라 국내에서 영업 허가를 받은 외국계 증권사도 포함됩니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
결제,resolved,결제는 매매거래가 성립된 후 증권의 인도와 대금의 지급을 통해 거래를 최종적으로 마무리하는 절차입니다. 주식 시장에서는 보통 매매 체결일로부터 3영업일째 되는 날(T+2)에 한국예탁결제원과 은행을 통해 증권과 대금이 교환되며 거래가 종결됩니다.,source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
공매도,resolved,"공매도는 주가가 하락할 것으로 예상되는 주식을 빌려서 먼저 매도한 뒤, 나중에 주가가 떨어지면 싼값에 사서 되갚아 차익을 얻는 투자 기법입니다. 주식을 보유하지 않은 상태에서 매도부터 진행하며, 향후 주가가 하락해야 이익을 얻을 수 있습니다.",source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
관리종목,resolved,"관리종목은 상장폐지 기준에 해당할 우려가 있거나 재무적 부실, 공시 의무 위반 등의 사유로 거래소가 지정하여 관리하는 종목입니다. 투자자에게 주의를 환기하고 기업에는 상장폐지 전 유예기간을 주는 성격을 띠며, 지정 시 신용거래와 대용증권 활용이 제한되고 단일가 매매 방식이 적용될 수 있습니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
권리락,resolved,"권리락은 신주 배정이나 배당 등을 받을 권리가 사라진 상태를 의미합니다. 주주명부 확정 기준일이 지나 권리가 소멸되면, 늘어나는 주식 수를 반영하여 주가를 인위적으로 낮추는 가격 조정이 이루어집니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
기본적분석,resolved,"기본적 분석은 기업의 재무 상태, 수익성, 성장성 및 경제적 환경 등 내재 가치를 분석하여 주가의 적정 수준을 판단하는 방법입니다. 현재 주가가 분석된 가치보다 낮으면 저평가, 높으면 고평가된 것으로 보며 주로 중장기적인 주가 흐름을 예측하는 데 활용됩니다. 대표적인 지표로는 PER, PBR, PSR 등이 있습니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
기업공개(IPO),resolved,"기업공개(IPO)는 외부 투자자에게 기업의 주식을 공개하고 분산시키는 절차를 의미합니다. 주로 비상장 기업이 유가증권시장이나 코스닥시장에 상장하기 위해 주식을 일반인에게 발행하거나 매도하는 과정을 뜻하며, 이를 통해 기업의 재무 내용을 투명하게 공개하여 대중적인 투자 기반을 마련하게 됩니다.",source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
기준가격,resolved,"기준가격은 펀드의 자산 가치를 나타내는 가격으로, 펀드를 매수하거나 환매할 때 기준이 됩니다. 펀드의 순자산총액을 총 좌수로 나눈 뒤 보통 1,000을 곱하여 산출하며, 매일의 투자 성과에 따라 가격이 달라집니다.",source_3,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,3
담보대출,resolved,"담보대출은 계좌에 보유한 주식, 펀드, 채권 등의 증권을 담보로 자금을 빌리는 서비스입니다. 대출 가능 금액은 담보 자산의 가치에 따라 일정 비율 내에서 결정되며, 이미 매도하여 입금 예정인 자금을 담보로 대출을 받는 경우도 포함됩니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
담보부족,resolved,담보부족은 신용거래나 대출 시 계좌 내 현금과 유가증권의 평가금액 합계가 정해진 담보유지비율 밑으로 떨어져 추가로 채워 넣어야 하는 금액을 의미합니다. 정해진 기한 내에 부족한 담보를 채우지 못하면 증권사가 주식을 강제로 파는 반대매매가 발생할 수 있습니다.,source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
담보유지비율,resolved,담보유지비율은 신용거래나 주식담보대출을 이용할 때 주가 하락에 대비하여 투자자가 유지해야 하는 최소한의 담보 가치 비율입니다. 담보 가치가 이 비율 미만으로 하락하면 증권사는 부족분만큼 추가 담보를 요구하거나 반대매매를 통해 채권을 회수할 수 있습니다.,source_2,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,2
대용증권,resolved,"대용증권은 주식 거래 시 위탁증거금이나 보증금을 현금 대신 낼 수 있도록 지정된 유가증권입니다. 거래소가 정한 기준에 따라 상장 주식이나 채권 등이 활용되며, 주식담보대출 시 담보로 사용되기도 합니다.",source_2,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,2
동시호가,resolved,"동시호가는 특정 시간 동안 접수된 주문을 선후 관계없이 동시에 접수된 것으로 간주하여 하나의 가격으로 체결하는 방식입니다. 주로 장 시작 전(08:40~09:00)과 장 마감 직전(15:20~15:30)에 운영되며, 시간 우선순위를 배제하고 가격과 수량 우선순위에 따라 거래를 체결함으로써 대량 주문에 따른 가격 급등락을 방지하고 공정한 가격 형성을 돕는 역할을 합니다.",source_1,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,2
