term,aliases,category,definition,source_name,source_url
YoY,"[""Year on Year"", ""전년 동기 대비""]",리포트/실적 표현,YoY는 전년 같은 기간과 비교한 증감률을 뜻합니다. 실적 기사에서는 계절 영향을 줄이고 성장 흐름을 비교할 때 자주 사용됩니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
QoQ,"[""Quarter on Quarter"", ""전분기 대비""]",리포트/실적 표현,QoQ는 바로 이전 분기와 비교한 증감률을 뜻합니다. 기업의 최근 실적 변화 흐름을 단기적으로 파악할 때 유용합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
MoM,"[""Month on Month"", ""전월 대비""]",리포트/실적 표현,MoM은 바로 이전 달과 비교한 증감률을 뜻합니다. 매달 발표되는 경제 지표나 월별 매출 변화를 확인할 때 주로 쓰입니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
YTD,"[""Year to Date"", ""연초 대비""]",리포트/실적 표현,YTD는 연초부터 현재 시점까지의 누적 성과나 변화를 뜻합니다. 올해 들어 주가나 실적이 얼마나 변했는지 측정하는 기준이 됩니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
TTM,"[""Trailing Twelve Months"", ""최근 12개월""]",리포트/실적 표현,TTM은 최근 12개월 동안의 실적이나 재무 수치를 합산한 것을 뜻합니다. 가장 최신의 연간 흐름을 반영한 지표로 활용됩니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
컨센서스,"[""Consensus"", ""시장 전망치""]",리포트/실적 표현,컨센서스는 증권사 애널리스트들이 발표한 실적이나 주가 전망치를 종합한 평균적인 시장 기대치를 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
어닝 쇼크,"[""Earnings Shock"", ""실적 쇼크""]",리포트/실적 표현,어닝 쇼크는 기업이 발표한 실적이 시장의 기대치(컨센서스)를 크게 밑도는 상황을 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
어닝 서프라이즈,"[""Earnings Surprise"", ""실적 서프라이즈""]",리포트/실적 표현,어닝 서프라이즈는 기업이 발표한 실적이 시장의 기대치(컨센서스)를 크게 웃도는 상황을 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
어닝 미스,"[""Earnings Miss"", ""실적 미스""]",리포트/실적 표현,"어닝 미스는 기업 실적이 시장 기대치에 미치지 못한 상황을 뜻하며, 어닝 쇼크보다는 충격이 덜할 때 주로 쓰입니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
가이던스,"[""Guidance"", ""실적 가이던스""]",리포트/실적 표현,"가이던스는 기업이 직접 제시하는 향후 실적 전망이나 경영 목표를 뜻하며, 투자자들에게 중요한 참고 자료가 됩니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
목표주가,"[""Target Price""]",리포트/실적 표현,목표주가는 증권사 애널리스트가 기업의 가치를 분석하여 제시하는 향후 6개월~1년 뒤의 예상 적정 주가입니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
투자의견,"[""Investment Opinion""]",리포트/실적 표현,"투자의견은 증권사가 특정 종목에 대해 제시하는 매수(Buy), 중립(Hold), 매도(Sell) 등의 투자 판단을 뜻합니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
투자의견 상향,"[""Upgrade"", ""의견 상향""]",리포트/실적 표현,투자의견 상향은 증권사가 해당 종목의 전망을 기존보다 긍정적으로 평가하여 투자 등급을 올리는 것을 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
투자의견 하향,"[""Downgrade"", ""의견 하향""]",리포트/실적 표현,투자의견 하향은 증권사가 해당 종목의 전망을 기존보다 부정적으로 평가하여 투자 등급을 낮추는 것을 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
잠정실적,"[""Preliminary Earnings""]",리포트/실적 표현,"잠정실적은 외부 감사인의 검토가 끝나기 전, 기업이 투자자 편의를 위해 먼저 발표하는 임시 실적 수치입니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
실적 발표,"[""Earnings Release""]",리포트/실적 표현,"실적 발표는 기업이 분기나 연간 경영 성과(매출, 영업이익 등)를 시장에 공식적으로 공개하는 일을 뜻합니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
피크아웃,"[""Peak-out""]",리포트/실적 표현,피크아웃은 실적이나 업황이 정점을 찍고 앞으로 하락하거나 성장세가 둔화될 가능성이 커진 상태를 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
턴어라운드,"[""Turnaround""]",리포트/실적 표현,"턴어라운드는 적자에서 흑자로 전환하거나, 부진했던 실적이 눈에 띄게 회복 국면으로 들어서는 상황을 뜻합니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
리레이팅,"[""Re-rating""]",투자지표/밸류에이션,리레이팅은 기업의 이익 창출 능력이나 시장 환경 변화로 인해 시장에서 받는 가치 평가 수준(멀티플)이 높아지는 것을 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
디레이팅,"[""De-rating""]",투자지표/밸류에이션,디레이팅은 산업의 성장성 둔화나 위험 요인 발생으로 인해 시장에서 받는 가치 평가 수준(멀티플)이 낮아지는 것을 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
멀티플,"[""Multiple"", ""밸류에이션 멀티플""]",투자지표/밸류에이션,멀티플은 주가를 이익이나 자산 등과 비교한 배수입니다. 'PER 10배'라고 할 때의 10배가 해당 기업에 적용된 멀티플입니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
순매수,"[""Net Buy""]",수급/투자자,순매수는 특정 기간 동안 투자자가 주식을 판 금액보다 산 금액이 더 많은 상태를 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
순매도,"[""Net Sell""]",수급/투자자,순매도는 특정 기간 동안 투자자가 주식을 산 금액보다 판 금액이 더 많은 상태를 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
대차잔고,"[""Stock Loan Balance""]",수급/투자자,대차잔고는 투자자가 주식을 빌린 뒤 아직 갚지 않은 물량입니다. 보통 공매도를 대기하는 물량으로 해석되기도 합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
공매도 잔고,"[""Short Interest""]",수급/투자자,공매도 잔고는 투자자가 공매도를 한 뒤 아직 시장에서 주식을 되사서 갚지 않은 물량의 규모를 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
숏커버링,"[""Short Covering""]",수급/투자자,"숏커버링은 공매도한 주식을 갚기 위해 시장에서 다시 주식을 사들이는 것을 말하며, 이 과정에서 주가가 오르기도 합니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
오버행,"[""Overhang"", ""잠재 매도 물량""]",수급/투자자,"오버행은 시장에 언제든 쏟아질 수 있는 대량의 대기 물량을 뜻하며, 주가 상승을 제한하는 부담 요인이 됩니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
리밸런싱,"[""Rebalancing"", ""포트폴리오 조정""]",수급/투자자,리밸런싱은 운용 목표에 맞춰 포트폴리오 내 종목의 비중을 다시 조정하는 작업입니다. 지수 구성 종목이 바뀔 때도 사용됩니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
패시브 자금,"[""Passive Fund Flow"", ""패시브 수급""]",수급/투자자,패시브 자금은 코스피200 같은 특정 지수를 그대로 추종하는 ETF나 인덱스 펀드에서 유입되는 기계적인 투자 자금입니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
액티브 자금,"[""Active Fund Flow"", ""액티브 수급""]",수급/투자자,액티브 자금은 펀드 매니저가 직접 종목을 골라 시장 수익률보다 높은 성과를 내기 위해 움직이는 투자 자금입니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
락업 해제,"[""Lock-up Expiration"", ""보호예수 해제""]",시장/상장,락업 해제는 상장 초기 대주주나 기관이 일정 기간 주식을 팔지 않기로 약속한 기간이 끝나 매도가 가능해지는 것을 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
자사주 매입,"[""Share Buyback"", ""자기주식 매입""]",배당/주주환원,"자사주 매입은 기업이 남는 돈으로 자기 회사의 주식을 시장에서 직접 사들이는 것으로, 주가에 긍정적인 신호로 통합니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
자사주 소각,"[""Share Cancellation"", ""자기주식 소각""]",배당/주주환원,자사주 소각은 기업이 보유한 자기주식을 없애버리는 것입니다. 전체 주식 수가 줄어들어 기존 주주들의 주식 가치가 높아집니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
시가총액,"[""Market Cap"", ""시총""]",주식 기초,"시가총액은 상장된 모든 주식을 현재 주가로 곱한 금액으로, 기업의 전체 규모와 시장 가치를 나타내는 지표입니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
보통주,"[""Common Stock""]",주식 기초,보통주는 주주총회에서 의결권을 행사할 수 있는 일반적인 주식입니다. 우리가 흔히 거래하는 대부분의 주식이 보통주에 해당합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
우선주,"[""Preferred Stock""]",주식 기초,우선주는 의결권이 없는 대신 보통주보다 배당을 더 많이 받거나 먼저 받을 권리가 있는 주식입니다. 종목명 뒤에 '우'가 붙습니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
거래량,"[""Trading Volume""]",주식 기초,거래량은 특정 기간 동안 시장에서 매매된 주식의 수량을 뜻합니다. 주가 변동의 에너지를 확인하는 중요한 지표입니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
예수금,"[""Deposit""]",주식 기초,예수금은 주식을 사기 위해 증권 계좌에 넣어둔 현금 중 아직 주식을 사지 않은 대기 자금을 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
영업이익,"[""Operating Profit""]",리포트/실적 표현,"영업이익은 매출에서 원가와 판매관리비를 뺀 금액으로, 기업이 본업을 통해 순수하게 벌어들인 이익을 뜻합니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
기저효과,"[""Base Effect""]",리포트/실적 표현,"기저효과는 비교 대상인 이전 시점의 실적이 너무 낮아, 현재의 실적이 상대적으로 크게 좋아 보이는 현상을 뜻합니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
상회,"[""Beat""]",리포트/실적 표현,상회는 실제 실적이나 수치가 시장의 예상치나 기준치보다 높게 나타난 것을 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
하회,"[""Miss""]",리포트/실적 표현,하회는 실제 실적이나 수치가 시장의 예상치나 기준치보다 낮게 나타난 것을 뜻합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
외국인,"[""Foreigner"", ""외인""]",수급/투자자,"외국인은 국내 주식 시장에 참여하는 외국 국적의 개인이나 기관 투자자를 뜻하며, 시장 수급의 큰 축을 담당합니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
연기금,"[""Pension Fund""]",수급/투자자,연기금은 국민연금처럼 공적 기금을 운용하는 기관입니다. 장기적이고 안정적인 투자를 지향하는 성격이 강합니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
프로그램 매매,"[""Program Trading""]",수급/투자자,프로그램 매매는 컴퓨터를 이용해 일정한 조건에 따라 여러 종목을 한꺼번에 대량으로 매매하는 방식입니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
신용융자,"[""Margin Loan""]",수급/투자자,신용융자는 투자자가 증권사로부터 돈을 빌려 주식을 사는 것을 뜻합니다. 시장의 과열 여부를 판단하는 지표로도 쓰입니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
ROE,"[""Return on Equity"", ""자기자본이익률""]",투자지표/밸류에이션,ROE는 기업이 주주의 돈(자기자본)을 활용해 1년 동안 얼마나 효율적으로 이익을 냈는지 보여주는 수익성 지표입니다.,장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
EPS,"[""Earnings Per Share"", ""주당순이익""]",투자지표/밸류에이션,"EPS는 기업이 벌어들인 순이익을 발행 주식 수로 나눈 값으로, 주식 1주가 1년 동안 벌어들인 이익을 뜻합니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
BPS,"[""Book-value Per Share"", ""주당순자산""]",투자지표/밸류에이션,"BPS는 기업의 순자산을 발행 주식 수로 나눈 값으로, 회사를 당장 청산했을 때 1주당 돌아가는 가치를 뜻합니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
배당수익률,"[""Dividend Yield""]",투자지표/밸류에이션,"배당수익률은 현재 주가 대비 배당금이 몇 퍼센트인지를 나타내는 지표로, 투자 시 배당 매력을 판단하는 기준이 됩니다.",장독대 주식 용어 사전,https://github.com/9990-jangdokdae/dictionary/blob/main/docs/stock_dictionary_prd.md
