term,aliases,category,reason,source_name,source_url,notes
시가총액,"[""Market Cap"", ""시총""]",주식 기초,term_augmentation_duplicate,장독대 주식 용어 사전,,
보통주,"[""Common Stock""]",주식 기초,term_augmentation_duplicate,장독대 주식 용어 사전,,
우선주,"[""Preferred Stock""]",주식 기초,term_augmentation_duplicate,장독대 주식 용어 사전,,
거래량,"[""Trading Volume""]",주식 기초,term_augmentation_duplicate,장독대 주식 용어 사전,,
예수금,"[""Deposit""]",주식 기초,term_augmentation_duplicate,장독대 주식 용어 사전,,
영업이익,"[""Operating Profit""]",리포트/실적 표현,term_augmentation_duplicate,장독대 주식 용어 사전,,
외국인,"[""Foreigner"", ""외인""]",수급/투자자,term_augmentation_duplicate,장독대 주식 용어 사전,,
연기금,"[""Pension Fund""]",수급/투자자,term_augmentation_duplicate,장독대 주식 용어 사전,,
프로그램 매매,"[""Program Trading""]",수급/투자자,term_augmentation_duplicate,장독대 주식 용어 사전,,
EPS,"[""Earnings Per Share"", ""주당순이익""]",투자지표/밸류에이션,term_augmentation_duplicate,장독대 주식 용어 사전,,
BPS,"[""Book-value Per Share"", ""주당순자산""]",투자지표/밸류에이션,term_augmentation_duplicate,장독대 주식 용어 사전,,
배당수익률,"[""Dividend Yield""]",투자지표/밸류에이션,term_augmentation_duplicate,장독대 주식 용어 사전,,
