term,aliases,category,reason,source_name,source_url,notes
CMA,[],기타,category_gate_excluded,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,category is 기타; excluded before downstream LLM stages
CMA 제휴서비스,[],기타,category_gate_excluded,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,category is 기타; excluded before downstream LLM stages
CMA 투자대상전환,[],기타,category_gate_excluded,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,category is 기타; excluded before downstream LLM stages
CMA 투자상품,[],기타,category_gate_excluded,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000,category is 기타; excluded before downstream LLM stages
IMC (IMC (Integrated Marketing Communications )),[],기타,category_gate_excluded,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,category is 기타; excluded before downstream LLM stages
IRP상품 매수/매도,[],기타,category_gate_excluded,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,category is 기타; excluded before downstream LLM stages
IRP운용손익수수료,[],기타,category_gate_excluded,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,category is 기타; excluded before downstream LLM stages
IRP이체신청,[],기타,category_gate_excluded,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,category is 기타; excluded before downstream LLM stages
IRP평가금액,[],기타,category_gate_excluded,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,category is 기타; excluded before downstream LLM stages
ISA납입기간(의무가입기간),[],기타,category_gate_excluded,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,category is 기타; excluded before downstream LLM stages
ISA납입한도,[],기타,category_gate_excluded,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,category is 기타; excluded before downstream LLM stages
ISA손익통산,[],기타,category_gate_excluded,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,category is 기타; excluded before downstream LLM stages
SEC,[],기타,category_gate_excluded,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,category is 기타; excluded before downstream LLM stages
가중산술평균,[],기타,category_gate_excluded,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,category is 기타; excluded before downstream LLM stages
가중평균,[],기타,category_gate_excluded,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,category is 기타; excluded before downstream LLM stages
개인형 퇴직연금(IRP),[],기타,category_gate_excluded,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,category is 기타; excluded before downstream LLM stages
게임이론(game theory),[],기타,category_gate_excluded,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,category is 기타; excluded before downstream LLM stages
경제적 위험(economical risk),[],기타,category_gate_excluded,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,category is 기타; excluded before downstream LLM stages
계좌이체(transfer account),[],기타,category_gate_excluded,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,category is 기타; excluded before downstream LLM stages
계좌통합관리서비스,[],기타,category_gate_excluded,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,category is 기타; excluded before downstream LLM stages
고지의무(duty of disclosure),[],기타,category_gate_excluded,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,category is 기타; excluded before downstream LLM stages
공동행위 제한,[],기타,category_gate_excluded,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,category is 기타; excluded before downstream LLM stages
공제(fraternal insurance),[],기타,category_gate_excluded,미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do,category is 기타; excluded before downstream LLM stages
과세제외금액,[],기타,category_gate_excluded,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,category is 기타; excluded before downstream LLM stages
과표(과세표준)금액,[],기타,category_gate_excluded,iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp,category is 기타; excluded before downstream LLM stages
