candidate_terms,decision,representative_term,aliases
PSR | PSR(price selling ratio),alias,PSR,"[""PSR(price selling ratio)""]"
가격제한폭 | 가격제한폭(restriction of price range),alias,가격제한폭,"[""가격제한폭(restriction of price range)""]"
감자 | 감자 (reduction of capital),alias,감자,"[""감자 (reduction of capital)""]"
공매 | 공매(Short sale),separate,,[]
금리스왑 | 금리스왑(interest term coupon swap),alias,금리스왑,"[""금리스왑(interest term coupon swap)""]"
기술적 분석(technical analysis) | 기술적분석,alias,기술적 분석,"[""기술적분석"", ""기술적 분석(technical analysis)""]"
기업공개(IPO) | 기업공개(going public),alias,IPO,"[""기업공개"", ""going public""]"
다우 이론 | 다우이론(Dow theory),alias,다우 이론,"[""다우이론(Dow theory)""]"
단위형 투자신탁 | 단위형 투자신탁(unit type investment trust),alias,단위형 투자신탁,"[""단위형 투자신탁(unit type investment trust)""]"
대용 가격 | 대용가격(substitute price of securities),alias,대용가격,"[""대용 가격"", ""대용가격(substitute price of securities)""]"
대용증권 | 대용증권(substitute securities) | 대용증권(신용/대출),alias,대용증권,"[""대용증권(substitute securities)"", ""대용증권(신용/대출)""]"
대차대조표 | 대차대조표(balance sheet;B/S),alias,대차대조표,"[""대차대조표(balance sheet;B/S)""]"
대체결제제도 | 대체결제제도(book entry clearing),alias,대체결제제도,"[""대체결제제도(book entry clearing)""]"
동시호가 | 동시호가(simultaneous bids and offers),alias,동시호가,"[""동시호가(simultaneous bids and offers)""]"
레버리지 효과(leverage effect) | 레버리지효과,alias,레버리지 효과,"[""레버리지효과"", ""leverage effect""]"
마진 콜(margin call) (margin cal) | 마진콜,alias,마진콜,"[""마진 콜(margin call) (margin cal)""]"
만기연장 | 만기연장(신용/대출),alias,만기연장,"[""만기연장(신용/대출)""]"
"매매거래 중단 | 매매거래중단 (서킷브레이커, Circuit Breakers)",alias,서킷브레이커,"[""매매거래 중단"", ""Circuit Breakers""]"
반대매매 | 반대매매(covering) | 반대매매(신용/대출),alias,반대매매,"[""반대매매(covering)"", ""반대매매(신용/대출)""]"
베이시스 | 베이시스(Basis),alias,베이시스,"[""베이시스(Basis)""]"
부채 | 부채(debt),alias,부채,"[""부채(debt)""]"
시장가 주문 (Market Order) | 시장가주문,alias,시장가주문,"[""시장가 주문 (Market Order)""]"
신주인수권부사채 | 신주인수권부사채(BW),alias,신주인수권부사채,"[""신주인수권부사채(BW)""]"
우발채무 | 우발채무(contingent liabilities),alias,우발채무,"[""우발채무(contingent liabilities)""]"
유보율 | 유보율(reserve ratio) (),alias,유보율,"[""유보율(reserve ratio) ()""]"
유상증자 | 유상증자(capital increase with consideration),alias,유상증자,"[""유상증자(capital increase with consideration)""]"
이동 평균선 | 이동평균선(Moving Average),alias,이동평균선,"[""이동 평균선"", ""이동평균선(Moving Average)""]"
인덱스 펀드 | 인덱스펀드(Index Fund),alias,인덱스 펀드,"[""인덱스펀드(Index Fund)""]"
장외시장 | 장외시장(OTC; over-the-counter market),alias,장외시장,"[""장외시장(OTC; over-the-counter market)""]"
"적정의견 | 적정의견(qualified opinion, or clean opinion)",alias,적정의견,"[""적정의견(qualified opinion, or clean opinion)""]"
전환사채(CB) | 전환사채(CB; conversion bond),alias,전환사채(CB),"[""전환사채(CB; conversion bond)""]"
주당 순이익 | 주당순이익(EPS),alias,EPS,"[""주당 순이익"", ""주당순이익(EPS)""]"
주당 순자산 | 주당순자산(BPS),alias,BPS,"[""주당 순자산"", ""주당순자산(BPS)""]"
증거금 | 증거금(margin),alias,증거금,"[""증거금(margin)""]"
증권 대위 | 증권대위(securities substitution),alias,증권대위,"[""증권 대위"", ""증권대위(securities substitution)""]"
지지선 | 지지선(support line),alias,지지선,"[""지지선(support line)""]"
차익거래 | 차익거래(arbitrage trading),alias,차익거래,"[""차익거래(arbitrage trading)""]"
체계적 위험 | 체계적위험(systematic risk),alias,체계적 위험,"[""체계적위험(systematic risk)""]"
추세선 | 추세선(trend line),alias,추세선,"[""추세선(trend line)""]"
환매조건부 매도 | 환매조건부매도(환매도),alias,환매조건부 매도,"[""환매조건부매도(환매도)""]"
환매 조건부 매매 | 환매조건부매매(RP),alias,RP,"[""환매조건부매매"", ""환매 조건부 매매"", ""환매조건부매매(RP)""]"
환매조건부 매수 | 환매조건부매수(환매수),alias,환매조건부 매수,"[""환매조건부매수(환매수)""]"
