term,aliases,category,definition,source_name,source_url
120MA,[],가격/차트,"120MA는 120일 동안의 주가 평균을 연결한 선입니다. 주식 차트에서 중장기 추세를 파악할 때 쓰이며, 향후 반기 경기를 가늠하는 지표라는 의미에서 '경기선'이라고도 부릅니다. 120일선이 상승 추세일 때는 향후 경기를 긍정적으로 해석하는 경향이 있으나, 과거의 평균치를 나타내는 지표인 만큼 실제 경기 흐름이나 기업 실적과는 차이가 있을 수 있습니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
20MA,[],가격/차트,"20MA는 20일 동안의 평균 주가를 연결한 선입니다. 주식 시장의 영업일 기준으로 약 1개월간의 평균 가격 흐름을 나타내며, 차트에서 주가의 추세를 파악하는 지표로 활용됩니다. 맥락에 따라 주기 매매선이나 추세선이라고도 부릅니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
5MA,[],가격/차트,"5MA는 5일 동안의 주가 평균치를 연결한 선으로, 주가 차트에서 단기적인 흐름을 파악하는 지표입니다. 단기 매매선이나 생명선이라고도 불리며, 주가가 5일선보다 낮아지면 최근 시세에 비해 단기적인 상승 동력이 약해진 것으로 해석되기도 합니다. 주로 단기 투자자들이 시장의 흐름을 빠르게 포착하고자 할 때 활용하는 이동평균선입니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
60MA,[],가격/차트,60MA는 60일 동안의 주가 평균을 연결한 선입니다. 약 3개월간의 주가 흐름을 나타내어 기업의 분기 실적을 전망하는 지표로 활용되기도 합니다. 시장의 수요와 공급 평균치를 파악할 수 있다는 의미에서 '수급선'이라고도 불립니다.,KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
CD(certificates of deposit),[],채권/금리/환율,"CD(양도성예금증서)는 은행이 정기예금에 대해 발행한 양도 가능한 증서입니다. 무기명으로 발행되어 제3자에게 자유롭게 양도할 수 있는 특징이 있습니다. 주로 단기 유휴 자금을 운용하는 목적으로 활용되며, 예금의 성격과 유통성을 동시에 갖춘 금융 상품입니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
CMA약정식RP,[],채권/금리/환율,"CMA약정식RP는 CMA 계좌에서 가입할 수 있는 약정형 RP 상품을 뜻합니다. 정해진 기간 동안 약속된 이율을 제공하며, 만기 시에는 현금화됩니다. 만기일에 출금 등 별도의 업무 처리가 없으면 정해진 시간에 일반 CMA RP로 자동 재투자되는 특징이 있습니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
DLS(파생결합증권),[],파생/구조화상품,"DLS(파생결합증권)는 채권, 환율, 실물자산, 신용위험 등 다양한 자산의 가격 변동에 연계되어 수익이 결정되는 금융상품입니다. 기초자산의 가격이 미리 정해진 범위 내에서 움직이면 약속된 수익을 제공하는 구조를 가집니다. 상품마다 기초자산의 종류와 수익이 발생하는 조건이 다를 수 있습니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
DLS·DLB,[],파생/구조화상품,"DLS와 DLB는 금리, 원자재, 환율, 신용위험 등 다양한 기초자산의 가격이나 지수 변동에 따라 수익률이 결정되는 금융상품입니다. 원금 손실 가능성 여부에 따라 원금비보장형은 DLS(기타파생결합증권), 원금보장형은 DLB(기타파생결합사채)로 분류합니다. 주식 외의 다양한 경제 지표와 연동되므로 뉴스나 상품 설명서에서 주로 접하게 되며, 기초자산의 성격에 따라 수익 구조가 다르게 설계됩니다.",iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp
DR(Depository Receipts),[],시장/상장,"DR(주식예탁증서)은 기업이 해외 자본시장에서 주식을 유통할 때, 원본 주식을 대신하여 발행하는 증서입니다. 국가 간의 법률이나 제도 차이, 주권 수송의 번거로움을 해결하기 위해 사용됩니다. 기업은 이를 통해 국내 지분 구조를 유지하면서 외화 자금을 조달할 수 있으며, DR 보유자는 예탁기관과의 권리 관계에 따라 이를 원본 주식으로 교환할 수도 있습니다. 주로 해외 상장이나 자금 조달 관련 공시, 뉴스에서 접할 수 있습니다.",미래에셋증권 증권용어사전,https://securities.miraeasset.com/hki/hki3028/r01.do
ELS(주가연계증권),[],파생/구조화상품,"ELS(주가연계증권)는 주가지수나 개별 종목의 주가를 기초자산으로 삼아, 미리 정해진 조건을 충족하면 수익을 지급하는 금융상품입니다. 기초자산의 가격 변동에 따라 수익률이 결정되는 구조를 가지고 있습니다. 상품마다 수익을 얻기 위한 조건과 손실 발생 가능성이 다르므로, 공시나 상품 설명에 명시된 구체적인 조건을 확인해야 합니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
ELS/DLS 기초자산,[],파생/구조화상품,"ELS/DLS 기초자산은 ELS(주가연계증권)나 DLS(파생결합증권)의 수익과 손실을 결정하는 기준이 되는 자산입니다. 개별 주식, 주가지수, 금리 등이 주로 활용되며, 이 자산들의 가격이 미리 정해진 조건에 따라 어떻게 움직이는지에 따라 투자 결과가 달라집니다.",iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp
ELS/DLS 만기평가가격,[],파생/구조화상품,"ELS/DLS 만기평가가격은 만기 시 수익이나 손실 여부를 판단하기 위해 기준으로 삼는 각 기초자산의 가격입니다. 만기 시점에 기초자산의 가격이 어느 수준인지에 따라 최종적인 투자 결과가 결정되므로, 상품의 성과를 확인하는 공시나 리포트에서 중요하게 다뤄집니다.",iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp
ELS/DLS수익률,[],파생/구조화상품,"ELS/DLS수익률은 ELS나 DLS 상품이 조기 또는 만기 상환될 때 투자자가 원금 대비 받게 되는 수익의 비율을 뜻합니다. 일반적으로 연환산된 세전 수익률로 표기되며, 상품 설명이나 수익률 확인 화면에서 주로 쓰입니다. 상환 시점의 조건 충족 여부에 따라 실제 수익이 달라질 수 있습니다.",iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp
ELS/DLS중도상환,[],파생/구조화상품,"ELS/DLS 중도상환은 투자자의 요청에 따라 만기가 되기 전에 파생결합증권을 청산하여 투자금을 돌려받는 것을 의미합니다. 만기 이전에 자금을 회수할 수 있는 방법이지만, 이 과정에서 중도수수료가 발생할 수 있다는 점에 유의해야 합니다.",iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp
ELS/DLS최초기준가격,[],파생/구조화상품,"ELS/DLS최초기준가격은 자동조기상환이나 만기상환 수익 등을 판단하기 위해 처음에 기준으로 정하는 기초자산의 가격입니다. 상품의 수익 조건을 결정하는 기준이 되며, 이후 기초자산의 가격이 이 가격 대비 어느 수준인지에 따라 상환 여부가 결정됩니다.",iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp
ELS·ELB,[],파생/구조화상품,"ELS와 ELB는 주가지수나 개별 주식의 가격 변동에 연동하여 수익이 결정되는 증권입니다. 원금비보장형은 ELS(주가연계증권), 원금보장형은 ELB(주가연계파생결합사채)로 분류합니다. 기초자산의 가격 흐름에 따라 수익률이 달라지는 구조화 상품의 특성을 가지고 있습니다.",iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp
ETF,[],ETF/펀드,"ETF는 인덱스 펀드를 거래소에 상장시켜 주식처럼 실시간으로 사고팔 수 있게 만든 상품입니다. 주가 화면에서 개별 종목처럼 검색하고 거래할 수 있으며, 펀드의 분산 투자 성격과 주식의 매매 편의성을 함께 갖추고 있는 것이 특징입니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
ETN,[],ETF/펀드,"ETN(상장지수채권)은 증권사가 발행하며 특정 기초지수의 성과를 따르도록 설계된 상품입니다. 주식처럼 거래소에 상장되어 실시간으로 거래할 수 있는 것이 특징입니다. 기초지수의 수익률에 따라 가치가 결정되며, 발행 주체인 증권사가 수익 지급을 약속하는 형태로 운영됩니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
EV/EBITDA,[],투자지표/밸류에이션,"EV/EBITDA는 기업가치(EV)를 세금·이자지급전 이익(EBITDA)으로 나눈 지표입니다. 기업가치가 순수한 영업활동을 통한 이익의 몇 배인지를 나타내며, 이 비율이 낮을수록 기업가치에 비해 주가가 저평가된 것으로 해석되기도 합니다. 예를 들어 이 수치가 2배라면, 기업이 벌어들인 이익을 2년간 합했을 때 기업가치만큼의 투자 원금을 회수할 수 있다는 의미로 이해할 수 있습니다.",iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp
HTS,[],거래/주문/결제,"HTS는 Home Trading System의 약자로, 집에서도 인터넷을 이용해 주식을 거래할 수 있는 시스템입니다. 과거에는 거래소나 특정 장소에서만 주식 거래가 가능했으나, HTS를 통해 개인 투자자가 온라인으로 직접 주문을 낼 수 있게 되었습니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
IRP ETF약정등록/해지,[],ETF/펀드,"IRP ETF약정등록/해지는 IRP 계좌 내에서 일반 펀드 계좌와 ETF 투자용 계좌 간에 자금을 이동시키는 절차를 의미합니다. 약정등록은 수익증권펀드 계좌에 있는 자금을 ETF를 매매할 수 있는 계좌로 옮기는 행위이며, 약정해지는 반대로 ETF 투자운용계좌의 자금을 다시 펀드 계좌로 보내는 행위입니다.",iM증권 금융용어사전,https://www.imfnsec.com/research/financial_guide/fg000000.jsp
KONEX,[],시장/상장,"코넥스는 기술력과 성장 가능성은 있으나 상장 요건을 충족하지 못한 초기 중소기업을 지원하기 위한 전용 시장입니다. 상장 요건 완화와 공시 항목 축소 등을 통해 기업 성장의 디딤돌 역할을 하며, 이곳에서 성장한 기업은 코스닥 시장으로 이전 상장하기도 합니다. 다만, 시세 급등락에 따른 위험을 관리하기 위해 개인 투자자의 투자 조건이 일반 시장보다 까다롭게 설정되어 있습니다.",KB증권 금융용어사전,https://www.kbsec.com/go.able?linkcd=m04110000
