term,aliases,category,definition
YoY,"[""Year on Year"",""전년 동기 대비""]",리포트/실적 표현,YoY는 전년 같은 기간과 비교한 증감률을 뜻합니다.
QoQ,"[""Quarter on Quarter"",""전분기 대비""]",리포트/실적 표현,QoQ는 바로 이전 분기와 비교한 증감률을 뜻합니다.
MoM,"[""Month on Month"",""전월 대비""]",리포트/실적 표현,MoM은 바로 이전 달과 비교한 증감률을 뜻합니다.
YTD,"[""Year to Date"",""연초 대비""]",리포트/실적 표현,YTD는 연초부터 현재까지의 누적 성과나 변화를 뜻합니다.
TTM,"[""Trailing Twelve Months"",""최근 12개월""]",리포트/실적 표현,TTM은 최근 12개월 동안의 실적이나 재무 수치를 뜻합니다.
컨센서스,"[""Consensus"",""시장 전망치""]",리포트/실적 표현,컨센서스는 증권사 애널리스트들의 실적이나 주가 전망치를 종합한 평균적인 시장 기대치를 뜻합니다.
어닝 쇼크,"[""Earnings Shock"",""실적 쇼크""]",리포트/실적 표현,어닝 쇼크는 기업 실적이 시장 기대치를 크게 밑도는 상황을 뜻합니다.
어닝 서프라이즈,"[""Earnings Surprise"",""실적 서프라이즈""]",리포트/실적 표현,어닝 서프라이즈는 기업 실적이 시장 기대치를 크게 웃도는 상황을 뜻합니다.
어닝 미스,"[""Earnings Miss"",""실적 미스""]",리포트/실적 표현,어닝 미스는 기업 실적이 시장 기대치에 미치지 못한 상황을 뜻합니다.
가이던스,"[""Guidance"",""실적 가이던스""]",리포트/실적 표현,가이던스는 기업이 제시하는 향후 실적 전망이나 경영 목표를 뜻합니다.
목표주가,"[""Target Price""]",리포트/실적 표현,목표주가는 증권사나 애널리스트가 제시하는 특정 종목의 예상 적정 주가를 뜻합니다.
투자의견,"[""Investment Opinion"",""투자 의견""]",리포트/실적 표현,투자의견은 증권사가 특정 종목에 대해 제시하는 매수·중립·매도 같은 투자 판단을 뜻합니다.
투자의견 상향,"[""Upgrade"",""의견 상향""]",리포트/실적 표현,투자의견 상향은 증권사가 기존보다 긍정적인 투자 판단으로 의견을 올리는 것을 뜻합니다.
투자의견 하향,"[""Downgrade"",""의견 하향""]",리포트/실적 표현,투자의견 하향은 증권사가 기존보다 부정적인 투자 판단으로 의견을 낮추는 것을 뜻합니다.
잠정실적,[],리포트/실적 표현,잠정실적은 기업이 확정 공시 전에 먼저 발표하는 임시 실적 수치를 뜻합니다.
실적 발표,[],리포트/실적 표현,실적 발표는 기업이 분기나 연간 매출과 이익 등 경영 성과를 공개하는 일을 뜻합니다.
피크아웃,"[""Peak-out""]",리포트/실적 표현,피크아웃은 실적이나 업황이 고점을 지나 둔화될 가능성이 커진 상태를 뜻합니다.
턴어라운드,"[""Turnaround""]",리포트/실적 표현,턴어라운드는 부진했던 실적이나 업황이 회복 국면으로 바뀌는 상황을 뜻합니다.
리레이팅,"[""Re-rating""]",투자지표/밸류에이션,리레이팅은 기업의 평가 배수나 시장의 가치 평가 수준이 높아지는 것을 뜻합니다.
디레이팅,"[""De-rating""]",투자지표/밸류에이션,디레이팅은 기업의 평가 배수나 시장의 가치 평가 수준이 낮아지는 것을 뜻합니다.
멀티플,"[""Multiple"",""밸류에이션 멀티플""]",투자지표/밸류에이션,멀티플은 PER나 PBR처럼 기업 가치를 이익이나 자산 등과 비교해 나타내는 평가 배수를 뜻합니다.
순매수,[],수급/투자자,순매수는 일정 기간 동안 매수 금액이 매도 금액보다 큰 상태를 뜻합니다.
순매도,[],수급/투자자,순매도는 일정 기간 동안 매도 금액이 매수 금액보다 큰 상태를 뜻합니다.
대차잔고,"[""Stock Loan Balance""]",수급/투자자,대차잔고는 투자자가 빌린 뒤 아직 갚지 않은 주식의 잔량을 뜻합니다.
공매도 잔고,"[""Short Interest""]",수급/투자자,공매도 잔고는 공매도 후 아직 되사서 갚지 않은 주식 규모를 뜻합니다.
숏커버링,"[""Short Covering""]",수급/투자자,숏커버링은 공매도 투자자가 빌린 주식을 갚기 위해 다시 매수하는 것을 뜻합니다.
오버행,"[""Overhang"",""잠재 매도 물량""]",수급/투자자,오버행은 시장에 나올 가능성이 있는 대규모 매도 물량이 주가 부담으로 작용하는 상황을 뜻합니다.
리밸런싱,"[""Rebalancing"",""포트폴리오 조정""]",수급/투자자,리밸런싱은 포트폴리오나 지수 구성 비중을 목표에 맞게 다시 조정하는 것을 뜻합니다.
패시브 자금,"[""Passive Fund Flow"",""패시브 수급""]",수급/투자자,패시브 자금은 지수를 따라 움직이는 펀드나 ETF 자금 흐름을 뜻합니다.
액티브 자금,"[""Active Fund Flow"",""액티브 수급""]",수급/투자자,액티브 자금은 운용자의 판단에 따라 종목을 선택해 움직이는 투자 자금 흐름을 뜻합니다.
락업 해제,"[""Lock-up Expiration"",""보호예수 해제""]",시장/상장,락업 해제는 일정 기간 팔 수 없던 주식의 매도 제한이 풀리는 것을 뜻합니다.
자사주 매입,"[""Share Buyback"",""자기주식 매입""]",배당/주주환원,자사주 매입은 기업이 자기 회사 주식을 시장에서 사들이는 것을 뜻합니다.
자사주 소각,"[""Share Cancellation"",""자기주식 소각""]",배당/주주환원,자사주 소각은 기업이 보유한 자기주식을 없애 발행 주식 수를 줄이는 것을 뜻합니다.
